points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
22,90.0,3,0,3,3,0,5,1254885,736348,130.2,52.4,233.0,0.2,7.5,0.65,0.06,3.27,0.3,0,2,0
17,90.0,2,0,3,2,0,4,1062847,1891700,86.8,38.0,194.0,0.1,7.4,0.62,0.07,2.47,0.28,0,5,13
18,90.0,2,0,3,1,0,4,1037022,1926853,96.8,38.2,279.0,0.1,7.4,0.62,0.07,2.46,0.28,1,3,5
21,90.0,3,0,3,2,0,4,2013932,2389047,124.4,44.1,245.0,0.0,7.4,0.62,0.06,2.47,0.25,0,3,12
31,90.0,4,1,6,2,0,4,2099897,2370139,180.2,53.9,296.0,0.1,7.5,0.79,0.07,3.17,0.29,1,4,0
30,90.0,4,1,6,1,0,3,1934051,2701755,178.0,51.8,249.0,0.0,7.5,0.85,0.09,2.56,0.28,1,2,9
39,87.75,5,1,9,1,0,4,2186296,1616153,209.0,52.9,272.0,0.0,7.4,0.84,0.07,3.37,0.28,0,2,1
27,87.75,3,1,6,2,0,4,3007129,1474325,126.2,39.3,140.0,0.2,7.6,0.62,0.05,2.5,0.21,1,2,1
23,87.75,2,1,6,2,0,4,2063425,1100709,105.6,46.2,115.0,0.3,7.7,0.52,0.15,2.06,0.58,0,4,9
20,87.75,2,0,6,2,0,4,1815095,1399079,83.6,39.1,113.0,0.1,7.6,0.69,0.2,2.77,0.8,1,2,2
22,88.2,2,0,6,2,0,5,2011466,1013505,88.6,41.2,143.0,0.2,7.7,0.58,0.17,2.88,0.83,1,2,8
21,90.0,2,0,5,2,0,5,2446655,739143,91.2,50.9,147.0,0.3,7.7,0.6,0.26,2.98,1.28,0,2,2
22,90.0,2,0,5,1,0,5,2361875,763467,91.2,53.2,155.0,0.2,7.8,0.65,0.26,3.27,1.3,0,2,11
32,90.0,3,1,8,1,0,5,2870643,666933,137.4,49.4,177.0,0.1,7.8,0.76,0.21,3.81,1.04,1,3,2
25,90.0,2,1,5,1,0,5,3059562,357788,102.0,32.0,143.0,0.2,7.8,0.51,0.14,2.53,0.68,0,3,9
32,90.0,3,1,8,1,0,5,2928679,441956,146.4,41.6,164.0,0.2,7.9,0.58,0.19,2.9,0.93,0,4,2
